OBJECTID,STUD_AR_ID,STUD_AR_NM,POP_10,POP_14,Acres,AC_PER_1K,RepPrkAc,NEED_DESCP,PCT_Walk,MapLoc,DISTRICT
67,071,City of Bell,35477,36135,1675.9990076922397,0.378774,13.687,Very High,76.798148617,South County,1
68,076,City of Maywood,27395,27711,755.6896696834048,0.331637,9.19,Very High,93.691691805,South County,1
69,116,City of Inglewood,109635,112172,5823.01952528967,0.784492,87.99799999999999,Very High,42.0291037657,South County,2
70,114,City of Bell Gardens,42072,42726,1577.405826267356,1.309718,55.958999999999996,Very High,81.6191103771,South County,1
71,002,City of Rolling Hills,1860,1902,1914.5158267020804,0,0,Not Participating,1.32347556824,South County,4
72,162,City of Downey,111735,113741,8045.448708164248,1.105872,125.78300000000002,High,38.7212303122,South County,4
73,056,City of Cudahy,23805,24164,786.5976955637258,0.819525,19.802999999999997,Very High,81.6685358689,South County,1
74,088,City of South Gate,94396,96297,4704.951268851238,1.534991,147.815,Very High,44.7094829426,South County,1
75,149,City of Norwalk,105549,106629,6246.9337314885415,1.060293,113.2,High,47.2391929803,South County,4
76,140,City of Paramount,54098,55081,3090.5310289866907,1.815072,99.976,Very High,60.1966796391,South County,4
77,102,City of Gardena,58824,60257,3749.4584421167747,0.824004,49.652,High,61.175204148,South County,2
78,100,City of Bellflower,76647,77502,3943.375826961105,0.68,53.074,Very High,45.8893230975,South County,4
79,178,City of Manhattan Beach,35135,35476,2523.7113195118864,3.15495,111.92500000000001,Low,95.1907092148,South County,4
80,186,City of Redondo Beach,66730,67722,3970.9335659386193,1.368521,92.679,Moderate,87.3369434171,South County,4
81,040,City of Artesia,16522,16775,1038.7255183015316,1.002206,16.9,High,46.2452040511,South County,4
82,128,City of Hermosa Beach,19506,19747,937.6921084971328,2.048564,40.453,Moderate,99.9998813111,South County,4
83,041,City of Hawaiian Gardens,14257,14291,610.7270270332779,0.104052,1.4869999999999999,Moderate,68.4399471594,South County,4
84,141,City of Signal Hill,11016,11481,1407.8447828021767,8.151555,93.588,Very Low,97.0520243958,South County,4
